"Route","hour","x_hat"
"1",5,38.0454545454545
"1",6,298.08
"1",7,512.518518518518
"1",8,301
"1",9,294.148148148148
"1",10,358.185185185185
"1",11,295.444444444444
"1",12,316.444444444444
"1",13,307.925925925926
"1",14,299.814814814815
"1",15,610.962962962963
"1",16,301.37037037037
"1",17,287.814814814815
"1",18,324.518518518519
"1",19,169.481481481481
"1",20,146.074074074074
"1",21,149.5
"1",22,199.318181818182
"1",23,85.7142857142857
"2",7,3
"2",8,2
"2",9,2.25
"2",10,3
"2",14,8
"2",15,1
"3",4,2
"3",5,5
"3",6,13.0454545454545
"3",7,9.79166666666667
"3",8,14.4090909090909
"3",9,9.95652173913044
"3",10,11.7916666666667
"3",11,11.0869565217391
"3",12,9.07692307692308
"3",13,10.0909090909091
"3",14,9.32
"3",15,8.08695652173913
"3",16,11.125
"3",17,9.375
"3",18,11.6521739130435
"3",19,3.15
"3",20,4.18181818181818
"3",21,5.23809523809524
"4",5,7.45454545454545
"4",6,10.9130434782609
"4",7,10.7083333333333
"4",8,8.61538461538461
"4",9,9.82608695652174
"4",10,8.56
"4",11,11
"4",12,12.1818181818182
"4",13,13.6521739130435
"4",14,10.9545454545455
"4",15,12.9583333333333
"4",16,9.77272727272727
"4",17,11.3913043478261
"4",18,8.45833333333333
"4",19,7.81818181818182
"4",20,8.68181818181818
"4",21,4.30769230769231
"4",22,4.88888888888889
"6",6,15.2
"6",7,12.047619047619
"6",8,14.047619047619
"6",9,17.6818181818182
"6",10,24.2916666666667
"6",11,26
"6",12,23.4
"6",13,23.2307692307692
"6",14,19.9615384615385
"6",15,18.8260869565217
"6",16,10.8
"6",17,10.1428571428571
"6",18,8.85714285714286
"6",19,11.9
"6",20,11.7058823529412
"6",21,4
"9",6,1.6
"9",7,2.3125
"9",8,3.33333333333333
"9",9,1.72727272727273
"9",13,1.44444444444444
"9",14,1.42857142857143
"9",15,1.33333333333333
"9",16,2.82352941176471
"9",17,1.625
"9",18,2
"10",6,2
"10",7,6.46666666666667
"10",8,8.5
"10",17,8.75
"11",0,46.9615384615385
"11",1,9.85714285714286
"11",4,4
"11",5,77.3181818181818
"11",6,116.846153846154
"11",7,165.740740740741
"11",8,128.222222222222
"11",9,135.777777777778
"11",10,171.037037037037
"11",11,160.333333333333
"11",12,158.037037037037
"11",13,163.703703703704
"11",14,132.592592592593
"11",15,155.962962962963
"11",16,139.666666666667
"11",17,149.444444444444
"11",18,165.62962962963
"11",19,92
"11",20,85.5555555555556
"11",21,97.8148148148148
"11",22,84.9259259259259
"11",23,77.0740740740741
"12",6,5.11764705882353
"12",7,8.95454545454546
"12",8,3.5
"12",16,6.1
"12",17,7.77777777777778
"12",18,3.5
"13",5,1.82352941176471
"13",6,2.81818181818182
"13",7,3.14285714285714
"13",8,2.72727272727273
"13",9,2.7
"13",10,3.21052631578947
"13",11,3.73913043478261
"13",12,2.88
"13",13,2.80952380952381
"13",14,3.61904761904762
"13",15,2.47826086956522
"13",16,2.23809523809524
"13",17,4.04761904761905
"13",18,3.71428571428571
"13",19,3.38095238095238
"13",20,3
"13",21,2.07692307692308
"14",4,2
"14",5,6.21052631578947
"14",6,9.18181818181818
"14",7,10.4090909090909
"14",8,5.875
"14",9,6.5
"14",10,8.5
"14",11,6.88888888888889
"14",12,8
"14",13,7.48
"14",14,8.36
"14",15,6.5
"14",16,7.16
"14",17,10.4583333333333
"14",18,6.33333333333333
"14",19,4.6875
"14",20,2.5
"16",5,2
"16",6,2.47058823529412
"16",7,1.70588235294118
"16",8,2.52941176470588
"16",9,2.21428571428571
"16",10,2.46666666666667
"16",11,1.92307692307692
"16",12,2.75
"16",13,2.6
"16",14,1.90909090909091
"16",15,2.375
"16",16,3
"16",17,3.31818181818182
"16",18,2.5
"16",19,3.19047619047619
"16",20,2.6
"16",21,3.25
"16",22,2.11111111111111
"17",5,6.33333333333333
"17",6,154.227272727273
"17",7,179.555555555556
"17",8,114.074074074074
"17",9,118.37037037037
"17",10,145.962962962963
"17",11,116.037037037037
"17",12,86.7037037037037
"17",13,140.851851851852
"17",14,194.111111111111
"17",15,150.814814814815
"17",16,141.074074074074
"17",17,142.407407407407
"17",18,123.111111111111
"17",19,134.037037037037
"17",20,92.952380952381
"17",21,73.3809523809524
"17",22,60.8947368421053
"18",6,109.227272727273
"18",7,107.636363636364
"18",8,119.636363636364
"18",9,52.2380952380952
"18",10,52.1428571428571
"18",11,69.3181818181818
"18",12,61.2380952380952
"18",13,70.7272727272727
"18",14,95.2727272727273
"18",15,107.909090909091
"18",16,108.590909090909
"18",17,84.6363636363636
"18",18,63
"18",19,50.7619047619048
"19",5,46.9545454545455
"19",6,141.954545454545
"19",7,122.407407407407
"19",8,101
"19",9,116.703703703704
"19",10,92.2962962962963
"19",11,107.851851851852
"19",12,109.888888888889
"19",13,99.2222222222222
"19",14,101.555555555556
"19",15,143.814814814815
"19",16,120.555555555556
"19",17,135.925925925926
"19",18,77.5925925925926
"19",19,86.2307692307692
"19",20,97.8888888888889
"19",21,113.904761904762
"19",22,76.9047619047619
"19",23,37.8421052631579
"20",4,21
"20",5,57.9
"20",6,106.421052631579
"20",7,95.6666666666667
"20",8,140.954545454545
"20",9,99.9230769230769
"20",10,108.739130434783
"20",11,99.2857142857143
"20",12,128.65
"20",13,130.619047619048
"20",14,134.772727272727
"20",15,175.416666666667
"20",16,123.08
"20",17,107.68
"20",18,78.72
"20",19,62.8636363636364
"20",20,76.0952380952381
"20",21,78.2380952380952
"20",22,35.5294117647059
"20",23,30.7857142857143
"21",5,4.54545454545455
"21",6,16.4347826086957
"21",7,15.6666666666667
"21",8,15.2307692307692
"21",9,12.2692307692308
"21",10,14.8846153846154
"21",11,15
"21",12,10.5769230769231
"21",13,13.7391304347826
"21",14,14.7692307692308
"21",15,11.8695652173913
"21",16,14
"21",17,12.0416666666667
"21",18,16.6363636363636
"21",19,16.08
"21",20,14.52
"21",21,13.875
"21",22,12.0454545454545
"22",5,17.3809523809524
"22",6,81.5
"22",7,98.5555555555556
"22",8,64.7307692307692
"22",9,71.6296296296296
"22",10,69.8888888888889
"22",11,63.5925925925926
"22",12,81
"22",13,75.0384615384615
"22",14,62
"22",15,127.185185185185
"22",16,56.5185185185185
"22",17,69.6296296296296
"22",18,43.7777777777778
"22",19,42.2592592592593
"22",20,58.2222222222222
"22",21,37.7037037037037
"22",22,38.5909090909091
"23",5,2.66666666666667
"23",6,2.5
"23",7,2.5
"23",8,1.4
"23",9,1.44444444444444
"23",10,2.25
"23",11,1.71428571428571
"23",12,2
"23",13,2
"23",14,3
"23",15,3.06666666666667
"23",16,3
"23",17,2.72222222222222
"23",18,2.63157894736842
"23",19,4.1875
"23",20,2.45
"23",21,2.52941176470588
"23",22,1.88888888888889
"24",5,1
"24",6,1
"24",7,1
"24",8,1
"24",9,1
"24",16,1
"24",17,1
"24",18,1
"24",19,1
"27",5,33.9545454545455
"27",6,96.6818181818182
"27",7,148.518518518519
"27",8,90.2592592592593
"27",9,95.4074074074074
"27",10,94.1481481481482
"27",11,92.8888888888889
"27",12,98.7407407407407
"27",13,97.2962962962963
"27",14,105.037037037037
"27",15,137.296296296296
"27",16,97.5555555555556
"27",17,86.8888888888889
"27",18,93.1481481481482
"27",19,52.4444444444444
"27",20,41.4074074074074
"27",21,48.72
"27",22,60.55
"27",23,48.7894736842105
"28",5,12.7727272727273
"28",6,98.7272727272727
"28",7,86.4782608695652
"28",8,85.9615384615385
"28",9,63.7037037037037
"28",10,73.0740740740741
"28",11,74.1481481481482
"28",12,65.037037037037
"28",13,77.7037037037037
"28",14,84.9259259259259
"28",15,69.8148148148148
"28",16,58.1851851851852
"28",17,81
"28",18,69.6666666666667
"28",19,37.5769230769231
"28",20,52.5238095238095
"28",21,47.2
"28",22,14.25
"29",6,1
"29",7,1
"29",8,1
"29",9,1.66666666666667
"29",10,1
"29",11,1
"29",12,1
"29",13,1.2
"29",14,1.25
"29",15,1.2
"29",16,1.33333333333333
"29",17,1.16666666666667
"29",18,1
"29",19,1.25
"29",20,1
"29",21,1
"30",5,6.57894736842105
"30",6,3.92307692307692
"30",7,5.35
"30",8,5.31578947368421
"30",9,4.21052631578947
"30",10,7.56521739130435
"30",11,4.14285714285714
"30",12,5.61904761904762
"30",13,6.17391304347826
"30",14,3.80952380952381
"30",15,4.5
"30",16,3.26315789473684
"30",17,4.05263157894737
"30",18,4.1578947368421
"30",19,4.0625
"30",20,5.27777777777778
"30",21,6.9375
"31",5,47
"31",6,150.538461538462
"31",7,186
"31",8,189.925925925926
"31",9,227.851851851852
"31",10,178
"31",11,212.925925925926
"31",12,186.407407407407
"31",13,204.518518518519
"31",14,191.666666666667
"31",15,226.666666666667
"31",16,218.814814814815
"31",17,208.740740740741
"31",18,145.481481481481
"31",19,108.62962962963
"31",20,109.925925925926
"31",21,160.272727272727
"31",22,106.454545454545
"31",23,59.6190476190476
"32",5,4.29411764705882
"32",6,10.9090909090909
"32",7,12.4736842105263
"32",8,14.15
"32",9,11.8181818181818
"32",10,15.2272727272727
"32",11,12.3181818181818
"32",12,13.1818181818182
"32",13,7.5
"32",14,13.35
"32",15,16.5454545454545
"32",16,12.8571428571429
"32",17,15.2727272727273
"32",18,12.8571428571429
"32",19,11.5555555555556
"33",5,11.6818181818182
"33",6,21.8181818181818
"33",7,18.5833333333333
"33",8,15
"33",9,16.8846153846154
"33",10,20
"33",11,17.4166666666667
"33",12,17.24
"33",13,19.56
"33",14,25.76
"33",15,18.7777777777778
"33",16,18.6666666666667
"33",17,19.4444444444444
"33",18,8.88
"33",19,11.5384615384615
"33",20,12.8
"33",21,15.0454545454545
"33",22,11.9545454545455
"33",23,4.75
"34",5,7.2
"34",6,10.6
"34",7,12.8461538461538
"34",8,11.8333333333333
"34",9,12.8888888888889
"34",10,9.45454545454546
"34",11,9.36
"34",12,10.0740740740741
"34",13,10.88
"34",14,14.4230769230769
"34",15,11.8461538461538
"34",16,11.6666666666667
"34",17,9.57692307692308
"34",18,13.32
"34",19,9.96153846153846
"34",20,13.1428571428571
"34",21,13.5714285714286
"35",5,8.75
"35",6,5.33333333333333
"35",7,8.2
"35",8,4.88
"35",9,6.45833333333333
"35",10,7.82608695652174
"35",11,8.5
"35",12,6.70833333333333
"35",13,7.52631578947368
"35",14,6.04761904761905
"35",15,5.73913043478261
"35",16,5.33333333333333
"35",17,7.15
"35",18,4.33333333333333
"40",6,12.4736842105263
"40",7,39.8181818181818
"40",8,28.8181818181818
"40",9,25.952380952381
"40",10,31.55
"40",11,25.3181818181818
"40",12,28
"40",13,20.6
"40",14,29.8
"40",15,31.1818181818182
"40",16,23.0909090909091
"40",17,23.1818181818182
"40",18,29.1578947368421
"40",19,27.375
"50",5,86.5454545454545
"50",6,128.818181818182
"50",7,144.407407407407
"50",8,127.111111111111
"50",9,124.740740740741
"50",10,123.666666666667
"50",11,97.962962962963
"50",12,116.888888888889
"50",13,119.888888888889
"50",14,124.037037037037
"50",15,160.518518518519
"50",16,117.962962962963
"50",17,103.777777777778
"50",18,121.518518518519
"50",19,69.7407407407407
"50",20,53.3846153846154
"50",21,92.8095238095238
"50",22,81.4761904761905
"51",0,4.66666666666667
"51",5,13.2272727272727
"51",6,32.6923076923077
"51",7,29.8148148148148
"51",8,32.4814814814815
"51",9,32.8461538461538
"51",10,27.08
"51",11,41.1851851851852
"51",12,23.8518518518519
"51",13,35.0740740740741
"51",14,32.3333333333333
"51",15,28.3333333333333
"51",16,37.2962962962963
"51",17,27.6153846153846
"51",18,35.8888888888889
"51",19,38.6538461538462
"51",20,30.4615384615385
"51",21,36.5
"51",22,26.6666666666667
"51",23,28.8636363636364
"54",0,11.8947368421053
"54",5,12.4090909090909
"54",6,20.12
"54",7,14
"54",8,13.7037037037037
"54",9,22.9583333333333
"54",10,10.9230769230769
"54",11,18.7083333333333
"54",12,14.2
"54",13,16.6538461538462
"54",14,14.7692307692308
"54",15,13.6666666666667
"54",16,17.4444444444444
"54",17,16.52
"54",18,18.4782608695652
"54",19,15.8518518518519
"54",20,12.08
"54",21,17.7777777777778
"54",22,14.88
"54",23,21.4090909090909
"55",5,34.9545454545455
"55",6,55.0454545454545
"55",7,63.5384615384615
"55",8,61.2592592592593
"55",9,54.7407407407407
"55",10,54.8888888888889
"55",11,68.7037037037037
"55",12,59.1481481481481
"55",13,50.1481481481481
"55",14,70.8518518518518
"55",15,77.037037037037
"55",16,58.7407407407407
"55",17,70.962962962963
"55",18,74.2962962962963
"55",19,47
"55",20,74.6818181818182
"55",21,62.1818181818182
"55",22,32.85
"55",23,29.3
"56",5,82.0454545454545
"56",6,96.5769230769231
"56",7,156.777777777778
"56",8,162.481481481481
"56",9,160.730769230769
"56",10,186.296296296296
"56",11,154.62962962963
"56",12,149.592592592593
"56",13,165.333333333333
"56",14,171.037037037037
"56",15,158.074074074074
"56",16,126
"56",17,135.111111111111
"56",18,138.888888888889
"56",19,93.2592592592593
"56",20,93.3703703703704
"56",21,108
"56",22,107.545454545455
"56",23,40.0555555555556
"57",5,12.7142857142857
"57",6,50.2727272727273
"57",7,48
"57",8,31.2222222222222
"57",9,38.037037037037
"57",10,36.3333333333333
"57",11,33.7037037037037
"57",12,34.7777777777778
"57",13,41.037037037037
"57",14,35.2592592592593
"57",15,25.2592592592593
"57",16,54.2962962962963
"57",17,44.5185185185185
"57",18,36.1851851851852
"57",19,35.8076923076923
"57",20,37.9090909090909
"57",21,28.7272727272727
"57",22,29.9090909090909
"57",23,3
"58",5,11.3809523809524
"58",6,29
"58",7,56.6818181818182
"58",8,64.0909090909091
"58",9,43.6363636363636
"58",10,35
"58",11,40.7727272727273
"58",12,43.7272727272727
"58",13,41.2727272727273
"58",14,46.4090909090909
"58",15,49.9545454545455
"58",16,45.5
"58",17,37.4090909090909
"58",18,36.2272727272727
"58",19,42.5714285714286
"58",20,38.0909090909091
"58",21,29.95
"59",6,1.5
"59",7,1.25
"59",16,1.25
"59",17,1
"60",0,12.1764705882353
"60",1,3
"60",4,1.33333333333333
"60",5,17.1818181818182
"60",6,25.2916666666667
"60",7,24.2592592592593
"60",8,31.1481481481481
"60",9,30.44
"60",10,25.8888888888889
"60",11,26.3846153846154
"60",12,32.3846153846154
"60",13,32.3076923076923
"60",14,23.8888888888889
"60",15,25.6666666666667
"60",16,35.9166666666667
"60",17,34.0434782608696
"60",18,22.9090909090909
"60",19,23.2727272727273
"60",20,8.3
"60",21,10.15
"60",22,9
"60",23,9.76470588235294
"61",6,2.54545454545455
"61",7,1.78571428571429
"61",8,1.28571428571429
"61",15,1.66666666666667
"61",16,1.9
"61",17,1.2
"63",7,1
"63",8,1.4
"63",9,1.33333333333333
"63",10,1.16666666666667
"63",11,1
"63",12,1.42857142857143
"63",13,1.1
"63",14,1.22222222222222
"63",15,1.4
"63",16,2.6
"63",17,1.09090909090909
"63",18,1.375
"63",19,1.42857142857143
"63",20,1.28571428571429
"64",7,1
"64",8,1
"64",12,1
"64",13,1.5
"64",14,1
"64",15,1
"64",17,1.33333333333333
"66",0,1.5
"66",5,2
"66",6,4.0952380952381
"66",7,5.1304347826087
"66",8,4.70833333333333
"66",9,3.65217391304348
"66",10,4
"66",11,4.20833333333333
"66",12,5.75
"66",13,5.45833333333333
"66",14,4.65217391304348
"66",15,4.57142857142857
"66",16,5.82608695652174
"66",17,4.1
"66",18,3
"66",19,2.86363636363636
"66",20,3
"66",21,3
"66",22,2.46153846153846
"66",23,2.21428571428571
"67",7,1.25
"67",8,2
"67",9,1.25
"67",10,1.3
"67",11,1.875
"67",12,1.33333333333333
"67",13,1.42857142857143
"67",14,1.66666666666667
"67",15,1.5
"67",16,1.55555555555556
"67",17,1.71428571428571
"67",18,1
"67",19,1.5
"68",8,1
"68",9,1
"68",10,1
"68",11,2
"68",12,1
"68",15,1
"68",16,1
"69",8,1
"69",11,2
"69",12,1
"69",13,1
"69",14,1
"69",15,1
"69",17,1
"69",18,1
"69",19,1.5
"69",20,1
"69",21,1.8
"69",22,1.16666666666667
"69",23,1
"71",6,3.17647058823529
"71",7,5.31818181818182
"71",8,2.89473684210526
"71",9,3.57142857142857
"71",10,2.71428571428571
"71",11,5
"71",12,4
"71",13,3.89473684210526
"71",14,2.21052631578947
"71",15,4.85714285714286
"71",16,2.83333333333333
"71",17,5.40909090909091
"71",18,3.57894736842105
"71",19,1.66666666666667
"72",5,24.6818181818182
"72",6,64.4090909090909
"72",7,41.6296296296296
"72",8,47.2962962962963
"72",9,49
"72",10,44.1851851851852
"72",11,51.3333333333333
"72",12,45.5925925925926
"72",13,45.4444444444444
"72",14,42.1111111111111
"72",15,44
"72",16,45.8076923076923
"72",17,45.0740740740741
"72",18,42.8888888888889
"72",19,32.4230769230769
"72",20,36.4545454545455
"72",21,36.2727272727273
"72",22,24.8181818181818
"72",23,13.4285714285714
"73",6,1
"73",7,2.17647058823529
"73",8,2.33333333333333
"73",9,2.07692307692308
"73",10,1.7
"73",11,1.5
"73",12,2.08333333333333
"73",13,2.35714285714286
"73",14,2.18181818181818
"73",15,1.53846153846154
"73",16,1.93333333333333
"73",17,2.08333333333333
"73",18,1.625
"73",19,1.33333333333333
"75",6,2
"75",7,2.72727272727273
"75",8,3.14285714285714
"75",9,1.7
"75",10,2.66666666666667
"75",11,2.21428571428571
"75",12,2.15384615384615
"75",13,2.36363636363636
"75",14,2.28571428571429
"75",15,2.44444444444444
"75",16,3.41176470588235
"75",17,2.93333333333333
"75",18,1.14285714285714
"76",6,1.46153846153846
"76",7,1
"76",8,1.66666666666667
"76",9,1.16666666666667
"76",10,1.625
"76",11,2
"76",12,1
"76",13,1.58333333333333
"76",14,1.90909090909091
"76",15,1.45454545454545
"76",16,1.8
"76",17,1
"76",18,1.41666666666667
"78",5,1.53333333333333
"78",6,9.09090909090909
"78",7,5.83333333333333
"78",8,6.6
"78",9,8.90909090909091
"78",10,7.78260869565217
"78",11,7.31818181818182
"78",12,7.56521739130435
"78",13,6.1304347826087
"78",14,9.08695652173913
"78",15,7.68181818181818
"78",16,7.59090909090909
"78",17,5.68181818181818
"78",18,7.18181818181818
"78",19,8.0952380952381
"78",20,8.4
"78",21,9.81818181818182
"78",22,3.22222222222222
"78",23,2
"80",5,1.92857142857143
"80",6,2.28571428571429
"80",7,3.85
"80",8,2.91666666666667
"80",9,3.21052631578947
"80",10,2.81818181818182
"80",11,2
"80",12,4.76470588235294
"80",13,2.11111111111111
"80",14,2.17647058823529
"80",15,3.3
"80",16,1.2
"80",17,4.10526315789474
"80",18,2.66666666666667
"80",19,3.28571428571429
"87",6,1.5
"87",7,1.33333333333333
"87",8,1.66666666666667
"87",10,1
"87",11,1
"87",12,2
"87",13,1.4
"87",14,1.58333333333333
"87",15,1.54545454545455
"87",16,1.81818181818182
"87",17,1.25
"87",18,1.33333333333333
"87",19,1.71428571428571
"87",20,1.85714285714286
"87",21,1.8
"92",5,33.5714285714286
"92",6,82.6470588235294
"92",7,223.318181818182
"92",8,100.733333333333
"92",9,144.928571428571
"92",10,112.571428571429
"92",11,104.8
"92",12,82.55
"92",13,116.666666666667
"92",14,102.952380952381
"92",15,215.545454545455
"92",16,116.333333333333
"92",17,91.9444444444444
"92",18,119.5
"92",19,119.666666666667
"92",20,109.117647058824
"92",21,132.588235294118
"92",22,120.888888888889
"95",5,3.15384615384615
"95",6,3.2
"95",7,2.53333333333333
"95",14,1.78571428571429
"95",15,2.55555555555556
"95",16,3.21428571428571
"95",17,2.16666666666667
